source,source_type,relation,sub_relation,target,target_type,source_table
Tab.SMZco,西药,不良反应,,光敏,,
Tab.SMZco,西药,不良反应,,乏力,,
Tab.SMZco,西药,不良反应,,中性粒细胞减少症,疾病,
Tab.SMZco,西药,通用名,,复方磺胺甲恶唑片,西药,
Tab.SMZco,西药,不良反应,,发热,,
Tab.SMZco,西药,不良反应,,呕吐,,
Tab.SMZco,西药,不良反应,,剥脱性皮炎,,
Tab.SMZco,西药,不良反应,,咽痛,,
Tab.SMZco,西药,不良反应,,出血,疾病,
Tab.SMZco,西药,不良反应,,恶心,,
Tab.SMZco,西药,不良反应,,多形红斑,疾病,
Tab.SMZco,西药,不良反应,,幻觉,,
Tab.SMZco,西药,适应症,,支气管炎,疾病,
Tab.SMZco,西药,成份,,甲氧苄啶,,
Tab.SMZco,西药,分类,,磺胺药,,
Tab.SMZco,西药,不良反应,,粒细胞缺乏症,,
Tab.SMZco,西药,不良反应,,粒细胞缺乏,,
Tab.SMZco,西药,适应症,,细菌感染,,
Tab.SMZco,西药,不良反应,,红斑,,
Tab.SMZco,西药,不良反应,,粒细胞减少,,
Tab.SMZco,西药,不良反应,,结晶尿,,
Tab.SMZco,西药,适应症,,肺炎,疾病,
Tab.SMZco,西药,不良反应,,腹泻,疾病,
Tab.SMZco,西药,不良反应,,药物热,疾病,
Tab.SMZco,西药,不良反应,,药疹,疾病,
Tab.SMZco,西药,不良反应,,过敏,,
Tab.SMZco,西药,不良反应,,血清病样反应,,
Tab.SMZco,西药,不良反应,,过敏反应,,
Tab.SMZco,西药,不良反应,,错乱,,
Tab.SMZco,西药,不良反应,,过敏性休克,疾病,
T淋巴细胞亚群检查,诊疗技术及设备（治疗）,相关疾病,,非典,,
Wegner肉芽肿伴发的葡萄膜炎,疾病,症状,,下呼吸道坏死性肉芽肿,,
X—连锁无丙种球蛋白血症,疾病,症状,,支气管炎,疾病,
X—连锁无丙种球蛋白血症,疾病,症状,,肺炎,疾病,
X线碘油造影,诊疗技术及设备（治疗）,所属分类,,X线,,
X线碘油造影,诊疗技术及设备（治疗）,相关疾病,,纵膈感染,,
X线碘油造影,诊疗技术及设备（治疗）,相关症状,,肿块,,
X线碘油造影,诊疗技术及设备（治疗）,相关疾病,,纵隔炎,疾病,
α—1抗胰蛋白酶缺乏症,疾病,英文名称,,α1—antitrypsin deficiency,,
α—1抗胰蛋白酶缺乏症,疾病,病因,,常染色体遗传,,
α—1抗胰蛋白酶缺乏症,疾病,就诊科室,,内科,,
α—1抗胰蛋白酶缺乏症,疾病,实验室检查,,α1 抗胰蛋白酶表型检测,,
α—1抗胰蛋白酶缺乏症,疾病,ICD10,,E88.0,,
α—1抗胰蛋白酶缺乏症,疾病,实验室检查,,α—1 抗胰蛋白酶,,
α—1抗胰蛋白酶缺乏症,疾病,症状,,尿色深肝肿大门脉高压症等,,
α—1抗胰蛋白酶缺乏症,疾病,并发症,,患者易并发肝炎,,
α—1抗胰蛋白酶缺乏症,疾病,临床症状及体征,,喘息,,
α—1抗胰蛋白酶缺乏症,疾病,症状,,肝肿大,,
α硫辛酸注射液,西药,不良反应,,呼吸困难,,
α—1抗胰蛋白酶缺乏症,疾病,并发症,,肺气肿,疾病,
ω3鱼油脂肪乳注射液,西药,不良反应,,呕吐呼吸困难头痛,,
ω3鱼油脂肪乳注射液,西药,不良反应,,呼吸困难,,
ω3鱼油脂肪乳注射液,西药,不良反应,,胸痛,疾病,
ω—3鱼油中/长链脂肪乳注射液,西药,不良反应,,发绀,,
ω—3鱼油中/长链脂肪乳注射液,西药,不良反应,,呼吸困难,,
ω—3鱼油中/长链脂肪乳注射液,西药,不良反应,,气促,,
一君,西药,成份,,哌拉西林和舒巴坦,,
一君,西药,适应症,,肺炎,疾病,
一君,西药,通用名,,注射用哌拉西林钠舒巴坦钠,西药,
一君,西药,适应症,,支气管炎,疾病,
一君,西药,分类,,广谱青霉素/β—内酰胺酶抑制剂,,
一品,西药,英文名称,,Levofloxacin Hydrochloride Capsules,,
一品,西药,英文名称,,Levofloxacin Hydrochloride Tablets,,
一品,西药,分类,,喹诺酮类,,
一品,西药,成份,,左氧氟沙星,,
一品,西药,分类,,氟喹诺酮类/氟喹诺酮,,
一品,西药,成份,,盐酸左氧氟沙星,,
一品,西药,不良反应,,血管神经性水肿,,
一孚晴,西药,不良反应,,发热,,
一孚晴,西药,不良反应,,白细胞减少,,
一孚晴,西药,不良反应,,白细胞减少症,,
一平苏,西药,不良反应,,咳嗽,,
一平苏,西药,不良反应,,喉头水肿,,
一平苏,西药,不良反应,,血管神经性水肿,,
一捻金胶囊,中成药,功能主治,,祛痰,,
一捻金胶囊,中成药,功能主治,,痰盛喘咳,,
一氧化碳中毒,疾病,病因,,吸入过多含碳物质燃烧不完全的产物所致,,
一氧化碳中毒,疾病,英文名称,,carbon monoxide poisoning,,
一氧化碳中毒,疾病,症状,,口唇呈樱桃红色,,
一氧化碳中毒,疾病,症状,,呼吸急促,,
一氧化碳中毒,疾病,症状,,呼吸困难,,
一氧化碳中毒,疾病,治疗,,救治措施,,
一氧化碳中毒,疾病,治疗,,治疗用药,,
一氧化碳中毒,疾病,同义词,,煤气中毒,,
一氧化碳中毒,疾病,检查,,血中碳氧血红蛋白测定,,
一清软胶囊,中成药,适应症,,咯血,疾病,
一清软胶囊,中成药,成份,,黄芩,中草药,
一点红,中草药,功能主治,,肺炎,疾病,
一点血,中草药,功能主治,,咯血,疾病,
一秒用力呼气量,诊疗技术及设备（治疗）,相关疾病,,慢性阻塞性肺疾病,疾病,
一秒用力呼气量,诊疗技术及设备（治疗）,相关症状,,急性呼吸窘迫综合征,疾病,
一秒用力呼气量,诊疗技术及设备（治疗）,相关症状,,呼吸异常,,
一秒用力呼气量,诊疗技术及设备（治疗）,相关疾病,,支气管炎,疾病,
一秒用力呼气量,诊疗技术及设备（治疗）,相关疾病,,哮喘,疾病,
一秒用力呼气量,诊疗技术及设备（治疗）,所属分类,,肺功能,,
